Saved path: clothing_store, salon, hardware_store, jewelry_store, party_store, pharmacy, music_store, gelateria, florist, pet_store, craft_shop, bookstore, burger_joint, cafe, tech_shop : 56172
Saved path: pharmacy, music_store, bank, gelateria, pet_store, gym, bookstore, grocery_store, clothing_store, noodle_house, toy_store, salon, barber_shop, bike_shop, jewelry_store : 64502
Saved path: grocery_store, dentist, cafe, bookstore, hardware_store, gym, music_store, bank, gelateria, pharmacy, bakery, party_store, jewelry_store, barber_shop, clothing_store : 65717
Saved path: bookstore, dentist, pizzeria, craft_shop, pet_store, florist, music_store, bakery, bike_shop, gym, hardware_store, salon, toy_store, clothing_store, grocery_store : 54832
Saved path: clothing_store, tech_shop, pizzeria, pet_store, gelateria, bank, music_store, bakery, party_store, hardware_store, salon, toy_store, burger_joint, bookstore, cafe : 63889
Saved path: barber_shop, jewelry_store, bike_shop, bakery, pharmacy, music_store, gelateria, gym, craft_shop, pizzeria, dentist, bookstore, grocery_store, clothing_store, noodle_house : 60561
Saved path: hardware_store, gym, craft_shop, pet_store, bank, gelateria, pharmacy, bakery, party_store, bike_shop, barber_shop, noodle_house, tech_shop, dentist, cafe : 64789
Saved path: hardware_store, burger_joint, bookstore, cafe, clothing_store, grocery_store, pizzeria, florist, music_store, bank, gelateria, pharmacy, bakery, bike_shop, barber_shop : 57622
Saved path: party_store, jewelry_store, barber_shop, noodle_house, grocery_store, dentist, hardware_store, gym, pet_store, florist, gelateria, bank, music_store, pharmacy, bakery : 68676
Saved path: jewelry_store, bike_shop, barber_shop, salon, noodle_house, clothing_store, bookstore, burger_joint, gym, pizzeria, craft_shop, pet_store, gelateria, pharmacy, bakery : 61109
Saved path: pharmacy, bakery, party_store, jewelry_store, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, dentist, burger_joint, gym, pet_store, florist, gelateria : 58704
Saved path: grocery_store, dentist, bookstore, burger_joint, gym, florist, music_store, gelateria, pharmacy, bakery, bike_shop, hardware_store, salon, toy_store, clothing_store : 49485
Saved path: grocery_store, clothing_store, salon, barber_shop, jewelry_store, party_store, bike_shop, music_store, bank, gelateria, florist, craft_shop, gym, bookstore, tech_shop : 63361
Saved path: hardware_store, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, cafe, bookstore, dentist, florist, bank, gelateria, bike_shop, barber_shop, salon : 60195
Saved path: dentist, craft_shop, pet_store, gelateria, bank, music_store, pharmacy, hardware_store, burger_joint, toy_store, salon, noodle_house, clothing_store, grocery_store, cafe : 51649
Saved path: salon, barber_shop, bakery, gym, pet_store, gelateria, bank, music_store, florist, pizzeria, cafe, burger_joint, toy_store, clothing_store, noodle_house : 60469
Saved path: bike_shop, gelateria, bank, florist, pet_store, gym, burger_joint, bookstore, dentist, tech_shop, grocery_store, clothing_store, toy_store, salon, bakery : 61797
Saved path: salon, toy_store, hardware_store, bike_shop, jewelry_store, pharmacy, music_store, florist, pet_store, craft_shop, dentist, cafe, tech_shop, grocery_store, noodle_house : 57223
Saved path: pet_store, gelateria, music_store, pharmacy, party_store, bike_shop, barber_shop, salon, hardware_store, burger_joint, bookstore, cafe, clothing_store, dentist, craft_shop : 58644
Saved path: noodle_house, clothing_store, grocery_store, bookstore, cafe, tech_shop, pizzeria, craft_shop, gelateria, hardware_store, bakery, party_store, jewelry_store, bike_shop, barber_shop : 59430
Saved path: tech_shop, pizzeria, craft_shop, florist, music_store, bank, gelateria, pharmacy, jewelry_store, bike_shop, hardware_store, gym, toy_store, clothing_store, bookstore : 62815
