Saved path: bookstore, burger_joint, toy_store, hardware_store, party_store, jewelry_store, bike_shop, music_store, bank, florist, craft_shop, pizzeria, dentist, tech_shop, grocery_store : 64344
Saved path: pizzeria, craft_shop, pet_store, florist, gelateria, pharmacy, bakery, jewelry_store, barber_shop, noodle_house, clothing_store, toy_store, burger_joint, hardware_store, gym : 61160
Saved path: dentist, grocery_store, clothing_store, toy_store, barber_shop, jewelry_store, party_store, pharmacy, music_store, florist, craft_shop, gym, hardware_store, burger_joint, cafe : 56269
Saved path: cafe, burger_joint, bookstore, grocery_store, barber_shop, bike_shop, party_store, bakery, pharmacy, gelateria, bank, music_store, florist, craft_shop, dentist : 59647
Saved path: dentist, pizzeria, tech_shop, noodle_house, barber_shop, bike_shop, jewelry_store, party_store, pharmacy, bank, florist, gym, hardware_store, burger_joint, cafe : 70031
Saved path: salon, noodle_house, clothing_store, grocery_store, cafe, tech_shop, pizzeria, craft_shop, gym, florist, bank, music_store, bike_shop, party_store, barber_shop : 63884
Saved path: burger_joint, dentist, pizzeria, craft_shop, music_store, bank, pharmacy, jewelry_store, party_store, bakery, gym, toy_store, clothing_store, grocery_store, bookstore : 63298
Saved path: clothing_store, grocery_store, tech_shop, bookstore, craft_shop, pet_store, florist, gelateria, pharmacy, party_store, jewelry_store, bike_shop, barber_shop, hardware_store, toy_store : 58351
Saved path: bank, craft_shop, pizzeria, dentist, grocery_store, cafe, bookstore, burger_joint, gym, hardware_store, salon, barber_shop, bike_shop, bakery, pharmacy : 61724
Saved path: party_store, bakery, barber_shop, noodle_house, tech_shop, pizzeria, dentist, cafe, bookstore, burger_joint, hardware_store, gym, craft_shop, music_store, bike_shop : 58508
Saved path: gelateria, craft_shop, gym, burger_joint, bookstore, cafe, dentist, tech_shop, clothing_store, noodle_house, salon, jewelry_store, party_store, bike_shop, bank : 66714
Saved path: music_store, bank, pet_store, pizzeria, tech_shop, grocery_store, noodle_house, salon, burger_joint, gym, hardware_store, jewelry_store, bike_shop, bakery, pharmacy : 67528
Saved path: salon, barber_shop, jewelry_store, party_store, music_store, bank, gelateria, gym, craft_shop, pizzeria, tech_shop, cafe, grocery_store, clothing_store, toy_store : 67240
Saved path: gelateria, pizzeria, tech_shop, burger_joint, grocery_store, clothing_store, noodle_house, salon, barber_shop, bike_shop, jewelry_store, party_store, pharmacy, music_store, bank : 66321
Saved path: pharmacy, bakery, jewelry_store, bike_shop, barber_shop, salon, noodle_house, clothing_store, grocery_store, cafe, burger_joint, gym, pizzeria, music_store, bank : 67284
Saved path: grocery_store, clothing_store, salon, toy_store, burger_joint, bakery, party_store, bike_shop, gym, pet_store, bank, florist, craft_shop, pizzeria, dentist : 67418
Saved path: bookstore, burger_joint, cafe, dentist, pet_store, gelateria, music_store, bike_shop, jewelry_store, party_store, bakery, toy_store, clothing_store, grocery_store, tech_shop : 56049
Saved path: salon, noodle_house, grocery_store, cafe, dentist, craft_shop, pet_store, florist, bank, music_store, pharmacy, jewelry_store, hardware_store, burger_joint, toy_store : 65073
Saved path: bookstore, burger_joint, gym, craft_shop, pet_store, florist, bank, music_store, party_store, bike_shop, barber_shop, salon, toy_store, clothing_store, grocery_store : 63065
Saved path: cafe, toy_store, salon, barber_shop, bike_shop, jewelry_store, party_store, bakery, pharmacy, gelateria, bank, florist, pet_store, craft_shop, gym : 65204
Saved path: clothing_store, grocery_store, tech_shop, cafe, bookstore, burger_joint, gym, craft_shop, florist, music_store, bike_shop, jewelry_store, hardware_store, toy_store, noodle_house : 48692
Saved path: tech_shop, pizzeria, dentist, cafe, bookstore, burger_joint, gym, craft_shop, gelateria, bank, party_store, jewelry_store, salon, noodle_house, grocery_store : 67701
