Saved path: bookstore, grocery_store, dentist, pizzeria, craft_shop, florist, music_store, gelateria, pharmacy, bakery, party_store, barber_shop, hardware_store, gym, burger_joint : 57101
Saved path: burger_joint, bookstore, grocery_store, clothing_store, noodle_house, toy_store, salon, barber_shop, jewelry_store, bike_shop, bakery, pharmacy, music_store, bank, pizzeria : 67267
Saved path: cafe, tech_shop, clothing_store, noodle_house, toy_store, salon, barber_shop, jewelry_store, bike_shop, pharmacy, gelateria, florist, gym, burger_joint, bookstore : 52999
Saved path: craft_shop, pizzeria, tech_shop, grocery_store, burger_joint, hardware_store, salon, barber_shop, jewelry_store, party_store, pharmacy, gelateria, bank, music_store, florist : 65198
Saved path: cafe, burger_joint, noodle_house, barber_shop, jewelry_store, party_store, bakery, pharmacy, music_store, bank, gelateria, pet_store, pizzeria, tech_shop, grocery_store : 65845
Saved path: craft_shop, florist, music_store, bank, gelateria, pharmacy, bakery, bike_shop, jewelry_store, salon, grocery_store, bookstore, cafe, tech_shop, pizzeria : 63059
Saved path: dentist, pet_store, florist, gelateria, bank, music_store, pharmacy, bakery, jewelry_store, barber_shop, salon, hardware_store, burger_joint, bookstore, clothing_store : 68559
Saved path: tech_shop, grocery_store, toy_store, salon, barber_shop, jewelry_store, bakery, pharmacy, music_store, bank, florist, pet_store, gym, hardware_store, bookstore : 66065
Saved path: craft_shop, gym, hardware_store, burger_joint, bookstore, cafe, dentist, tech_shop, clothing_store, noodle_house, barber_shop, pharmacy, gelateria, music_store, florist : 46727
Saved path: cafe, dentist, pizzeria, tech_shop, grocery_store, clothing_store, noodle_house, salon, party_store, pharmacy, gelateria, craft_shop, gym, burger_joint, bookstore : 54357
Saved path: tech_shop, noodle_house, salon, hardware_store, bike_shop, party_store, pharmacy, music_store, bank, gelateria, pet_store, gym, bookstore, dentist, pizzeria : 68736
Saved path: party_store, jewelry_store, salon, noodle_house, grocery_store, tech_shop, cafe, burger_joint, dentist, pizzeria, florist, gelateria, pharmacy, bakery, bike_shop : 55647
Saved path: hardware_store, gym, craft_shop, florist, music_store, pharmacy, bakery, bike_shop, jewelry_store, barber_shop, noodle_house, clothing_store, grocery_store, tech_shop, bookstore : 52738
Saved path: music_store, pharmacy, jewelry_store, party_store, gym, burger_joint, salon, clothing_store, grocery_store, dentist, pizzeria, craft_shop, pet_store, gelateria, bank : 68626
Saved path: gelateria, pharmacy, party_store, jewelry_store, barber_shop, salon, toy_store, grocery_store, tech_shop, cafe, hardware_store, gym, pet_store, florist, bank : 65913
Saved path: bookstore, cafe, dentist, tech_shop, grocery_store, clothing_store, noodle_house, salon, barber_shop, jewelry_store, gelateria, bank, pet_store, craft_shop, gym : 66628
Saved path: burger_joint, bookstore, tech_shop, grocery_store, noodle_house, toy_store, salon, barber_shop, bike_shop, gelateria, florist, pet_store, craft_shop, dentist, cafe : 51947
Saved path: burger_joint, bookstore, craft_shop, florist, gelateria, bank, music_store, jewelry_store, party_store, bakery, hardware_store, toy_store, noodle_house, grocery_store, tech_shop : 56377
Saved path: bank, music_store, florist, craft_shop, dentist, bookstore, burger_joint, tech_shop, clothing_store, toy_store, salon, hardware_store, party_store, bike_shop, pharmacy : 62046
Saved path: party_store, barber_shop, toy_store, clothing_store, grocery_store, pizzeria, dentist, bookstore, burger_joint, hardware_store, gym, pet_store, gelateria, music_store, pharmacy : 61500
Saved path: gelateria, bank, music_store, florist, dentist, bookstore, burger_joint, hardware_store, toy_store, noodle_house, salon, barber_shop, bike_shop, party_store, jewelry_store : 67968
Saved path: party_store, bakery, pharmacy, music_store, bank, gelateria, gym, bookstore, cafe, pizzeria, tech_shop, grocery_store, clothing_store, barber_shop, bike_shop : 64617
Saved path: party_store, jewelry_store, barber_shop, salon, toy_store, clothing_store, grocery_store, burger_joint, gym, pizzeria, craft_shop, pet_store, bank, pharmacy, bakery : 69016
