Saved path: florist, gelateria, music_store, pharmacy, party_store, bike_shop, hardware_store, gym, toy_store, salon, noodle_house, tech_shop, bookstore, cafe, dentist : 56818
Saved path: gelateria, florist, dentist, cafe, tech_shop, grocery_store, clothing_store, toy_store, salon, jewelry_store, party_store, bike_shop, bakery, pharmacy, bank : 61546
Saved path: gym, craft_shop, pet_store, florist, pharmacy, bakery, jewelry_store, salon, toy_store, clothing_store, grocery_store, tech_shop, dentist, cafe, bookstore : 56430
Saved path: bookstore, cafe, dentist, pizzeria, craft_shop, gym, pet_store, bank, gelateria, pharmacy, barber_shop, toy_store, noodle_house, clothing_store, grocery_store : 57400
Saved path: music_store, florist, craft_shop, pizzeria, dentist, burger_joint, bookstore, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, gym, bakery, pharmacy : 44006
Saved path: jewelry_store, party_store, bakery, pharmacy, bank, pet_store, pizzeria, tech_shop, grocery_store, cafe, bookstore, hardware_store, toy_store, noodle_house, barber_shop : 69570
Saved path: bank, music_store, pharmacy, bakery, party_store, jewelry_store, barber_shop, salon, hardware_store, toy_store, clothing_store, cafe, dentist, craft_shop, florist : 64779
Saved path: burger_joint, gym, pizzeria, craft_shop, pet_store, bank, pharmacy, bakery, jewelry_store, bike_shop, barber_shop, toy_store, clothing_store, cafe, bookstore : 69713
Saved path: music_store, bank, gelateria, hardware_store, cafe, tech_shop, grocery_store, noodle_house, toy_store, salon, barber_shop, bike_shop, jewelry_store, party_store, pharmacy : 63209
Saved path: cafe, bookstore, hardware_store, salon, barber_shop, pharmacy, music_store, bank, gelateria, pet_store, craft_shop, pizzeria, dentist, tech_shop, grocery_store : 58273
Saved path: bike_shop, jewelry_store, pharmacy, music_store, pet_store, craft_shop, dentist, cafe, burger_joint, tech_shop, grocery_store, clothing_store, toy_store, salon, barber_shop : 59011
Saved path: grocery_store, tech_shop, bookstore, cafe, dentist, craft_shop, florist, bank, pharmacy, bakery, party_store, jewelry_store, bike_shop, barber_shop, toy_store : 64548
