Saved path: pet_store, florist, gelateria, pharmacy, bakery, barber_shop, salon, toy_store, noodle_house, grocery_store, tech_shop, pizzeria, burger_joint, hardware_store, gym : 52615
Saved path: tech_shop, cafe, burger_joint, bookstore, craft_shop, florist, gelateria, pharmacy, party_store, bakery, barber_shop, salon, toy_store, noodle_house, clothing_store : 47285
Saved path: florist, gelateria, music_store, pharmacy, bike_shop, jewelry_store, barber_shop, salon, clothing_store, grocery_store, tech_shop, burger_joint, bookstore, craft_shop, pet_store : 57289
Saved path: music_store, pharmacy, bakery, jewelry_store, barber_shop, salon, noodle_house, clothing_store, grocery_store, tech_shop, bookstore, burger_joint, cafe, dentist, pizzeria : 56271
Saved path: bike_shop, barber_shop, toy_store, clothing_store, tech_shop, pizzeria, dentist, cafe, hardware_store, gym, gelateria, pharmacy, bakery, party_store, jewelry_store : 61063
Saved path: craft_shop, gym, burger_joint, bookstore, cafe, dentist, tech_shop, grocery_store, salon, barber_shop, bike_shop, party_store, music_store, florist, pet_store : 59450
Saved path: bank, music_store, bakery, party_store, hardware_store, gym, burger_joint, bookstore, cafe, grocery_store, tech_shop, dentist, pizzeria, craft_shop, pet_store : 59400
Saved path: jewelry_store, party_store, bakery, pharmacy, music_store, gelateria, pet_store, gym, hardware_store, burger_joint, tech_shop, clothing_store, noodle_house, toy_store, barber_shop : 56909
Saved path: clothing_store, noodle_house, salon, toy_store, party_store, bakery, music_store, gelateria, florist, craft_shop, pizzeria, dentist, cafe, bookstore, burger_joint : 54094
Saved path: pizzeria, dentist, cafe, burger_joint, hardware_store, bank, pharmacy, party_store, jewelry_store, bike_shop, barber_shop, salon, noodle_house, grocery_store, tech_shop : 69565
Saved path: music_store, gelateria, florist, pet_store, craft_shop, pizzeria, dentist, tech_shop, grocery_store, clothing_store, toy_store, burger_joint, hardware_store, bike_shop, jewelry_store : 57384
Saved path: pet_store, gelateria, bank, music_store, party_store, bakery, barber_shop, salon, toy_store, clothing_store, grocery_store, tech_shop, cafe, burger_joint, hardware_store : 60183
Saved path: barber_shop, salon, toy_store, clothing_store, grocery_store, cafe, burger_joint, dentist, craft_shop, gelateria, bank, pharmacy, bakery, party_store, jewelry_store : 62289
Saved path: grocery_store, clothing_store, noodle_house, bookstore, burger_joint, gym, hardware_store, jewelry_store, pharmacy, music_store, gelateria, florist, pet_store, dentist, cafe : 56320
Saved path: bookstore, cafe, tech_shop, dentist, craft_shop, pet_store, florist, music_store, pharmacy, bakery, bike_shop, barber_shop, salon, toy_store, burger_joint : 50349
Saved path: florist, pet_store, craft_shop, gym, burger_joint, cafe, tech_shop, clothing_store, noodle_house, toy_store, salon, barber_shop, bakery, bike_shop, jewelry_store : 54397
Saved path: bank, gelateria, pharmacy, bakery, party_store, bike_shop, barber_shop, hardware_store, toy_store, grocery_store, tech_shop, cafe, dentist, craft_shop, pet_store : 63155
Saved path: clothing_store, grocery_store, tech_shop, pizzeria, cafe, burger_joint, gym, craft_shop, music_store, pharmacy, bakery, jewelry_store, bike_shop, barber_shop, noodle_house : 57197
Saved path: hardware_store, toy_store, grocery_store, tech_shop, dentist, florist, music_store, bank, gelateria, pharmacy, bakery, party_store, jewelry_store, bike_shop, barber_shop : 65815
Saved path: party_store, bike_shop, barber_shop, salon, noodle_house, clothing_store, pizzeria, dentist, cafe, burger_joint, gym, florist, bank, pharmacy, bakery : 65114
