Saved path: dentist, bookstore, gym, craft_shop, florist, bank, music_store, bakery, party_store, bike_shop, barber_shop, salon, grocery_store, tech_shop, pizzeria : 67386
Saved path: noodle_house, salon, barber_shop, bike_shop, jewelry_store, party_store, bakery, music_store, pizzeria, tech_shop, cafe, bookstore, gym, hardware_store, toy_store : 63518
Saved path: bike_shop, bakery, barber_shop, toy_store, noodle_house, grocery_store, tech_shop, cafe, dentist, pizzeria, pet_store, florist, bookstore, burger_joint, hardware_store : 53806
Saved path: music_store, gelateria, pet_store, craft_shop, gym, hardware_store, bookstore, cafe, dentist, clothing_store, noodle_house, barber_shop, bike_shop, party_store, jewelry_store : 63364
Saved path: tech_shop, grocery_store, clothing_store, noodle_house, salon, hardware_store, bike_shop, jewelry_store, party_store, pharmacy, bank, music_store, craft_shop, gym, cafe : 61223
Saved path: barber_shop, music_store, florist, pet_store, craft_shop, pizzeria, dentist, cafe, tech_shop, grocery_store, noodle_house, toy_store, hardware_store, bakery, jewelry_store : 61484
Saved path: music_store, gelateria, florist, pet_store, craft_shop, pizzeria, tech_shop, noodle_house, cafe, burger_joint, gym, hardware_store, jewelry_store, party_store, bakery : 58145
Saved path: toy_store, salon, hardware_store, jewelry_store, bike_shop, bakery, music_store, gelateria, florist, craft_shop, dentist, bookstore, tech_shop, grocery_store, clothing_store : 56214
Saved path: bank, music_store, florist, pizzeria, tech_shop, cafe, bookstore, noodle_house, barber_shop, bakery, party_store, jewelry_store, bike_shop, gym, pet_store : 71095
Saved path: grocery_store, clothing_store, toy_store, bakery, bike_shop, party_store, pharmacy, music_store, bank, gelateria, florist, pet_store, craft_shop, pizzeria, bookstore : 60230
Saved path: noodle_house, grocery_store, burger_joint, craft_shop, florist, gelateria, bank, music_store, bike_shop, jewelry_store, party_store, bakery, barber_shop, salon, toy_store : 62630
Saved path: toy_store, grocery_store, bookstore, burger_joint, gym, pet_store, florist, music_store, gelateria, pharmacy, bakery, party_store, jewelry_store, hardware_store, salon : 56751
Saved path: barber_shop, toy_store, noodle_house, clothing_store, grocery_store, cafe, tech_shop, pizzeria, craft_shop, florist, gelateria, bank, music_store, party_store, jewelry_store : 63141
Saved path: party_store, barber_shop, toy_store, clothing_store, grocery_store, cafe, burger_joint, hardware_store, gym, craft_shop, pet_store, florist, music_store, bank, gelateria : 60079
Saved path: craft_shop, dentist, tech_shop, grocery_store, clothing_store, cafe, bookstore, burger_joint, hardware_store, party_store, barber_shop, pharmacy, music_store, florist, pet_store : 56035
Saved path: salon, noodle_house, grocery_store, cafe, burger_joint, bookstore, craft_shop, pet_store, florist, bank, bakery, bike_shop, party_store, hardware_store, toy_store : 61311
Saved path: craft_shop, florist, bank, gelateria, pharmacy, bike_shop, party_store, jewelry_store, salon, grocery_store, tech_shop, bookstore, cafe, dentist, pizzeria : 65749
Saved path: toy_store, gym, hardware_store, bike_shop, jewelry_store, pharmacy, music_store, gelateria, pet_store, dentist, bookstore, tech_shop, grocery_store, noodle_house, salon : 62352
Saved path: burger_joint, cafe, dentist, pet_store, florist, bank, gelateria, bakery, bike_shop, hardware_store, salon, noodle_house, clothing_store, grocery_store, tech_shop : 57684
Saved path: salon, clothing_store, grocery_store, tech_shop, cafe, bookstore, burger_joint, dentist, pizzeria, pet_store, bank, pharmacy, party_store, jewelry_store, hardware_store : 67833
Saved path: salon, noodle_house, toy_store, burger_joint, tech_shop, dentist, craft_shop, pet_store, bank, gelateria, florist, gym, hardware_store, bike_shop, jewelry_store : 69113
Saved path: pharmacy, gelateria, music_store, florist, craft_shop, pizzeria, dentist, bookstore, burger_joint, tech_shop, clothing_store, toy_store, barber_shop, jewelry_store, bakery : 57932
Saved path: party_store, salon, clothing_store, grocery_store, tech_shop, dentist, bookstore, burger_joint, gym, craft_shop, pet_store, bank, gelateria, pharmacy, bakery : 62829
Saved path: clothing_store, noodle_house, barber_shop, bike_shop, jewelry_store, bakery, pharmacy, music_store, florist, craft_shop, gym, hardware_store, cafe, dentist, tech_shop : 56921
Saved path: gym, toy_store, salon, noodle_house, grocery_store, cafe, tech_shop, pizzeria, craft_shop, pet_store, gelateria, music_store, pharmacy, bakery, jewelry_store : 58786
