Saved path: bike_shop, music_store, florist, gym, hardware_store, burger_joint, bookstore, pizzeria, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, jewelry_store : 61550
Saved path: grocery_store, tech_shop, pizzeria, craft_shop, pet_store, bank, gelateria, pharmacy, bakery, bike_shop, salon, noodle_house, burger_joint, bookstore, cafe : 57510
Saved path: jewelry_store, bakery, hardware_store, gym, pet_store, bank, music_store, florist, dentist, cafe, bookstore, clothing_store, noodle_house, toy_store, barber_shop : 68330
Saved path: bakery, gelateria, florist, pet_store, pizzeria, tech_shop, grocery_store, clothing_store, cafe, bookstore, burger_joint, toy_store, barber_shop, jewelry_store, party_store : 59460
Saved path: grocery_store, pizzeria, dentist, burger_joint, gym, music_store, bank, gelateria, pharmacy, bakery, party_store, bike_shop, barber_shop, salon, clothing_store : 65485
Saved path: pet_store, gelateria, pharmacy, bakery, jewelry_store, bike_shop, gym, burger_joint, cafe, bookstore, noodle_house, clothing_store, tech_shop, pizzeria, craft_shop : 54845
Saved path: pet_store, craft_shop, pizzeria, dentist, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, hardware_store, salon, barber_shop, party_store, pharmacy, bank : 65983
Saved path: clothing_store, noodle_house, bookstore, burger_joint, gym, hardware_store, jewelry_store, bike_shop, bakery, pharmacy, bank, florist, pizzeria, dentist, grocery_store : 63389
Saved path: bookstore, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, bike_shop, party_store, bakery, pharmacy, music_store, bank, florist, gym, burger_joint : 57963
Saved path: party_store, jewelry_store, barber_shop, salon, hardware_store, toy_store, grocery_store, tech_shop, cafe, dentist, pizzeria, craft_shop, florist, bank, bakery : 68438
Saved path: party_store, bakery, pharmacy, bank, music_store, florist, pizzeria, dentist, tech_shop, clothing_store, cafe, bookstore, burger_joint, gym, hardware_store : 58713
Saved path: pharmacy, bakery, bike_shop, barber_shop, noodle_house, clothing_store, grocery_store, tech_shop, cafe, burger_joint, hardware_store, gym, craft_shop, pet_store, music_store : 46871
Saved path: florist, pet_store, gym, burger_joint, cafe, dentist, tech_shop, grocery_store, clothing_store, toy_store, barber_shop, bakery, party_store, bank, music_store : 64623
Saved path: noodle_house, salon, toy_store, gym, hardware_store, bike_shop, pharmacy, music_store, bank, florist, pet_store, pizzeria, dentist, grocery_store, clothing_store : 61660
Saved path: pizzeria, clothing_store, toy_store, barber_shop, bike_shop, pharmacy, music_store, bank, gelateria, gym, hardware_store, burger_joint, bookstore, cafe, dentist : 62311
Saved path: bakery, pharmacy, pet_store, craft_shop, pizzeria, tech_shop, grocery_store, cafe, bookstore, gym, hardware_store, salon, barber_shop, bike_shop, party_store : 58862
Saved path: toy_store, salon, barber_shop, bike_shop, jewelry_store, pharmacy, gelateria, pet_store, gym, burger_joint, dentist, pizzeria, tech_shop, grocery_store, noodle_house : 62644
Saved path: barber_shop, salon, toy_store, noodle_house, clothing_store, tech_shop, pizzeria, cafe, burger_joint, gym, pet_store, bank, gelateria, pharmacy, bakery : 58067
Saved path: dentist, pizzeria, grocery_store, noodle_house, barber_shop, bike_shop, jewelry_store, party_store, bakery, gelateria, pet_store, craft_shop, gym, burger_joint, cafe : 61844
Saved path: bank, music_store, pharmacy, party_store, jewelry_store, bike_shop, hardware_store, gym, bookstore, cafe, tech_shop, dentist, pet_store, florist, gelateria : 64438
Saved path: florist, music_store, bank, bakery, jewelry_store, bike_shop, hardware_store, salon, toy_store, grocery_store, tech_shop, cafe, bookstore, burger_joint, gym : 61449
Saved path: pet_store, florist, pharmacy, party_store, jewelry_store, barber_shop, salon, toy_store, grocery_store, dentist, bookstore, burger_joint, hardware_store, gym, craft_shop : 60619
