Saved path: pharmacy, gelateria, music_store, florist, pet_store, pizzeria, tech_shop, cafe, bookstore, burger_joint, toy_store, noodle_house, salon, barber_shop, bakery : 50642
Saved path: burger_joint, cafe, dentist, craft_shop, music_store, gelateria, pharmacy, party_store, hardware_store, salon, noodle_house, clothing_store, grocery_store, tech_shop, bookstore : 51750
Saved path: gym, bike_shop, jewelry_store, bakery, barber_shop, toy_store, noodle_house, grocery_store, tech_shop, dentist, craft_shop, pet_store, gelateria, music_store, florist : 61587
Saved path: florist, craft_shop, gym, burger_joint, dentist, pizzeria, tech_shop, clothing_store, noodle_house, barber_shop, bike_shop, bakery, gelateria, bank, music_store : 58901
Saved path: pet_store, pizzeria, gym, burger_joint, bookstore, cafe, grocery_store, clothing_store, noodle_house, salon, jewelry_store, pharmacy, music_store, bank, gelateria : 67526
Saved path: barber_shop, salon, clothing_store, grocery_store, tech_shop, dentist, bookstore, hardware_store, gym, florist, bank, music_store, pharmacy, party_store, bike_shop : 65524
Saved path: bakery, pharmacy, gelateria, music_store, florist, pet_store, pizzeria, dentist, bookstore, burger_joint, noodle_house, barber_shop, bike_shop, jewelry_store, party_store : 62695
Saved path: pet_store, craft_shop, gym, hardware_store, dentist, grocery_store, noodle_house, salon, barber_shop, bike_shop, party_store, pharmacy, bank, gelateria, florist : 67504
Saved path: bookstore, gym, craft_shop, florist, bank, pharmacy, party_store, barber_shop, salon, noodle_house, clothing_store, grocery_store, tech_shop, pizzeria, dentist : 65075
Saved path: bank, florist, pet_store, pizzeria, tech_shop, grocery_store, clothing_store, noodle_house, cafe, burger_joint, hardware_store, jewelry_store, party_store, bakery, pharmacy : 62648
Saved path: bank, music_store, pharmacy, bakery, party_store, jewelry_store, barber_shop, salon, hardware_store, gym, cafe, tech_shop, pizzeria, florist, gelateria : 66758
Saved path: gelateria, pharmacy, bakery, jewelry_store, salon, toy_store, noodle_house, clothing_store, bookstore, gym, craft_shop, pet_store, florist, music_store, bank : 62601
Saved path: grocery_store, clothing_store, salon, barber_shop, bakery, party_store, bike_shop, hardware_store, gym, pet_store, gelateria, music_store, craft_shop, pizzeria, dentist : 60649
Saved path: clothing_store, grocery_store, tech_shop, bookstore, craft_shop, pet_store, gelateria, music_store, pharmacy, bakery, bike_shop, barber_shop, hardware_store, toy_store, noodle_house : 49836
Saved path: tech_shop, noodle_house, barber_shop, bike_shop, party_store, pharmacy, bank, florist, pet_store, craft_shop, gym, burger_joint, bookstore, cafe, dentist : 67412
Saved path: pharmacy, party_store, jewelry_store, barber_shop, salon, noodle_house, clothing_store, grocery_store, tech_shop, bookstore, gym, pet_store, florist, gelateria, bank : 64826
Saved path: pharmacy, bakery, jewelry_store, barber_shop, clothing_store, grocery_store, tech_shop, dentist, bookstore, burger_joint, gym, pet_store, gelateria, bank, music_store : 66492
