Saved path: salon, toy_store, hardware_store, bakery, bike_shop, jewelry_store, gelateria, bank, music_store, gym, bookstore, cafe, tech_shop, grocery_store, noodle_house : 62129
Saved path: burger_joint, cafe, dentist, pizzeria, tech_shop, grocery_store, noodle_house, toy_store, barber_shop, jewelry_store, party_store, pharmacy, florist, craft_shop, gym : 57039
Saved path: tech_shop, pizzeria, craft_shop, florist, pharmacy, bakery, bike_shop, party_store, jewelry_store, salon, toy_store, burger_joint, bookstore, cafe, clothing_store : 54265
Saved path: pet_store, florist, music_store, gelateria, pharmacy, bakery, barber_shop, noodle_house, toy_store, hardware_store, burger_joint, cafe, grocery_store, tech_shop, dentist : 51430
Saved path: grocery_store, tech_shop, cafe, burger_joint, gym, pet_store, bank, pharmacy, bakery, party_store, jewelry_store, salon, toy_store, noodle_house, clothing_store : 60553
Saved path: hardware_store, bookstore, cafe, pizzeria, tech_shop, grocery_store, clothing_store, noodle_house, salon, barber_shop, jewelry_store, gelateria, music_store, florist, gym : 60812
Saved path: barber_shop, salon, toy_store, noodle_house, clothing_store, tech_shop, pizzeria, burger_joint, gym, craft_shop, pet_store, gelateria, bank, music_store, party_store : 67487
Saved path: music_store, florist, pet_store, craft_shop, pizzeria, cafe, bookstore, grocery_store, clothing_store, noodle_house, toy_store, bakery, bike_shop, pharmacy, gelateria : 47681
Saved path: clothing_store, grocery_store, tech_shop, cafe, burger_joint, hardware_store, craft_shop, gelateria, bakery, party_store, jewelry_store, bike_shop, barber_shop, toy_store, noodle_house : 54093
Saved path: music_store, pharmacy, bakery, party_store, jewelry_store, barber_shop, noodle_house, toy_store, burger_joint, cafe, tech_shop, dentist, pizzeria, pet_store, bank : 67084
Saved path: dentist, pizzeria, pet_store, florist, music_store, gelateria, pharmacy, bakery, party_store, bike_shop, barber_shop, toy_store, noodle_house, clothing_store, tech_shop : 58358
Saved path: grocery_store, clothing_store, noodle_house, toy_store, burger_joint, jewelry_store, bike_shop, pharmacy, music_store, bank, gelateria, pet_store, pizzeria, dentist, cafe : 62718
Saved path: bank, florist, pet_store, gym, burger_joint, bookstore, dentist, pizzeria, tech_shop, noodle_house, salon, hardware_store, jewelry_store, bakery, pharmacy : 71113
Saved path: pizzeria, dentist, cafe, tech_shop, grocery_store, clothing_store, salon, barber_shop, jewelry_store, party_store, bakery, pharmacy, gelateria, florist, craft_shop : 53832
Saved path: bookstore, cafe, dentist, craft_shop, pet_store, bank, music_store, florist, gym, bakery, party_store, bike_shop, hardware_store, burger_joint, noodle_house : 62019
Saved path: burger_joint, bookstore, cafe, grocery_store, salon, barber_shop, bike_shop, jewelry_store, party_store, pharmacy, music_store, bank, gelateria, pet_store, gym : 64466
Saved path: jewelry_store, party_store, hardware_store, florist, gelateria, bank, pet_store, craft_shop, dentist, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, bike_shop : 68952
Saved path: gym, pet_store, music_store, pharmacy, bakery, party_store, jewelry_store, barber_shop, salon, clothing_store, grocery_store, tech_shop, dentist, burger_joint, hardware_store : 61527
Saved path: florist, pet_store, craft_shop, pizzeria, tech_shop, cafe, bookstore, grocery_store, noodle_house, barber_shop, jewelry_store, party_store, bakery, hardware_store, gym : 58473
Saved path: grocery_store, noodle_house, cafe, gym, hardware_store, bakery, party_store, jewelry_store, gelateria, bank, music_store, florist, craft_shop, pizzeria, tech_shop : 61305
Saved path: jewelry_store, hardware_store, gym, toy_store, clothing_store, grocery_store, tech_shop, cafe, dentist, pizzeria, pet_store, florist, bank, music_store, pharmacy : 64685
Saved path: music_store, pharmacy, party_store, bike_shop, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, burger_joint, gym, craft_shop, pet_store, gelateria, bank : 59678
Saved path: toy_store, salon, noodle_house, clothing_store, grocery_store, tech_shop, dentist, pizzeria, pet_store, florist, gelateria, pharmacy, party_store, jewelry_store, burger_joint : 59135
Saved path: pharmacy, gelateria, music_store, craft_shop, pizzeria, cafe, bookstore, burger_joint, clothing_store, toy_store, gym, hardware_store, party_store, bike_shop, bakery : 52872
Saved path: hardware_store, jewelry_store, bike_shop, bakery, pharmacy, gelateria, bank, florist, pet_store, craft_shop, dentist, grocery_store, cafe, burger_joint, gym : 61025
