Saved path: burger_joint, toy_store, bakery, party_store, bike_shop, music_store, bank, florist, pet_store, craft_shop, pizzeria, tech_shop, clothing_store, cafe, bookstore : 61889
Saved path: bank, gelateria, pharmacy, bakery, party_store, bike_shop, barber_shop, salon, hardware_store, bookstore, grocery_store, tech_shop, pizzeria, craft_shop, pet_store : 65275
Saved path: barber_shop, salon, noodle_house, clothing_store, grocery_store, cafe, bookstore, burger_joint, hardware_store, gym, pizzeria, craft_shop, gelateria, bakery, bike_shop : 51406
Saved path: noodle_house, toy_store, hardware_store, party_store, pharmacy, music_store, gelateria, florist, pet_store, craft_shop, pizzeria, dentist, bookstore, tech_shop, grocery_store : 54781
Saved path: noodle_house, clothing_store, toy_store, burger_joint, bookstore, cafe, dentist, pet_store, gelateria, music_store, pharmacy, party_store, jewelry_store, hardware_store, salon : 58897
Saved path: craft_shop, pizzeria, tech_shop, cafe, burger_joint, grocery_store, clothing_store, barber_shop, bike_shop, bakery, gelateria, bank, music_store, florist, pet_store : 59056
Saved path: tech_shop, grocery_store, clothing_store, barber_shop, jewelry_store, party_store, bike_shop, music_store, gelateria, florist, craft_shop, gym, bookstore, dentist, pizzeria : 63172
Saved path: bank, music_store, bike_shop, bakery, barber_shop, salon, noodle_house, grocery_store, dentist, cafe, bookstore, gym, craft_shop, florist, gelateria : 57319
Saved path: cafe, dentist, pizzeria, pet_store, florist, music_store, jewelry_store, bike_shop, bakery, gym, toy_store, noodle_house, clothing_store, grocery_store, tech_shop : 57228
Saved path: music_store, florist, craft_shop, gym, bookstore, grocery_store, clothing_store, noodle_house, toy_store, hardware_store, bakery, party_store, jewelry_store, gelateria, bank : 56514
Saved path: grocery_store, clothing_store, toy_store, salon, bike_shop, party_store, bakery, pharmacy, music_store, bank, pet_store, dentist, bookstore, cafe, tech_shop : 62147
Saved path: music_store, gelateria, pet_store, craft_shop, pizzeria, dentist, bookstore, tech_shop, grocery_store, noodle_house, salon, toy_store, hardware_store, party_store, jewelry_store : 62227
Saved path: gelateria, pharmacy, bakery, party_store, jewelry_store, gym, hardware_store, salon, noodle_house, cafe, tech_shop, pizzeria, craft_shop, pet_store, bank : 66196
Saved path: hardware_store, toy_store, salon, noodle_house, clothing_store, grocery_store, tech_shop, bookstore, pet_store, florist, bank, gelateria, bike_shop, jewelry_store, party_store : 65189
Saved path: bank, music_store, florist, gym, hardware_store, burger_joint, bookstore, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, bike_shop, party_store, pharmacy : 59582
Saved path: salon, barber_shop, bike_shop, party_store, hardware_store, gym, pet_store, bank, gelateria, florist, dentist, bookstore, grocery_store, clothing_store, toy_store : 67441
Saved path: noodle_house, grocery_store, tech_shop, cafe, bookstore, florist, bank, pet_store, craft_shop, gym, hardware_store, party_store, bakery, barber_shop, salon : 61454
