Saved path: gelateria, florist, pet_store, pizzeria, dentist, bookstore, cafe, tech_shop, grocery_store, noodle_house, toy_store, salon, barber_shop, jewelry_store, bike_shop : 62471
Saved path: bakery, party_store, jewelry_store, bike_shop, barber_shop, salon, hardware_store, toy_store, noodle_house, tech_shop, cafe, bookstore, pet_store, florist, pharmacy : 58274
Saved path: bike_shop, barber_shop, clothing_store, grocery_store, cafe, dentist, craft_shop, pet_store, bank, gelateria, florist, gym, bakery, party_store, jewelry_store : 66877
Saved path: noodle_house, clothing_store, grocery_store, burger_joint, gym, pizzeria, craft_shop, pet_store, gelateria, bank, music_store, bike_shop, jewelry_store, barber_shop, salon : 69950
Saved path: clothing_store, grocery_store, tech_shop, pizzeria, dentist, bookstore, hardware_store, gym, craft_shop, pet_store, bank, bike_shop, jewelry_store, barber_shop, noodle_house : 71959
Saved path: cafe, bookstore, grocery_store, noodle_house, toy_store, bakery, bike_shop, jewelry_store, pharmacy, music_store, bank, pet_store, craft_shop, pizzeria, tech_shop : 62072
Saved path: hardware_store, party_store, bakery, barber_shop, noodle_house, grocery_store, tech_shop, cafe, bookstore, dentist, pet_store, gelateria, bank, music_store, florist : 66081
Saved path: grocery_store, cafe, pizzeria, pet_store, bank, music_store, pharmacy, bakery, party_store, jewelry_store, barber_shop, salon, hardware_store, toy_store, clothing_store : 68205
Saved path: music_store, pharmacy, party_store, jewelry_store, gym, hardware_store, salon, toy_store, clothing_store, bookstore, tech_shop, pizzeria, craft_shop, pet_store, florist : 62830
Saved path: music_store, bank, pet_store, craft_shop, pizzeria, grocery_store, clothing_store, toy_store, burger_joint, bookstore, gym, bakery, party_store, jewelry_store, bike_shop : 65691
Saved path: gym, hardware_store, toy_store, salon, noodle_house, clothing_store, grocery_store, bookstore, burger_joint, dentist, craft_shop, florist, gelateria, bank, music_store : 52512
Saved path: music_store, pharmacy, bakery, party_store, jewelry_store, bike_shop, gym, burger_joint, toy_store, noodle_house, clothing_store, grocery_store, cafe, pizzeria, craft_shop : 53730
Saved path: pizzeria, dentist, tech_shop, clothing_store, noodle_house, toy_store, hardware_store, salon, barber_shop, bike_shop, jewelry_store, bakery, pharmacy, gelateria, pet_store : 62059
Saved path: bookstore, burger_joint, clothing_store, noodle_house, salon, hardware_store, jewelry_store, party_store, pharmacy, gelateria, bank, florist, craft_shop, pizzeria, tech_shop : 64561
Saved path: grocery_store, clothing_store, salon, hardware_store, bike_shop, bakery, pharmacy, bank, music_store, florist, pet_store, gym, burger_joint, bookstore, tech_shop : 56094
Saved path: florist, gelateria, pharmacy, bakery, bike_shop, barber_shop, noodle_house, clothing_store, grocery_store, pizzeria, dentist, cafe, burger_joint, hardware_store, gym : 49810
Saved path: party_store, bike_shop, barber_shop, salon, grocery_store, tech_shop, pizzeria, dentist, burger_joint, hardware_store, gym, craft_shop, pet_store, bank, pharmacy : 68900
Saved path: florist, pet_store, craft_shop, pizzeria, tech_shop, burger_joint, bookstore, grocery_store, clothing_store, noodle_house, salon, hardware_store, bike_shop, party_store, bank : 66563
Saved path: clothing_store, grocery_store, dentist, pizzeria, pet_store, florist, music_store, gelateria, pharmacy, bakery, hardware_store, gym, toy_store, salon, noodle_house : 50737
Saved path: party_store, jewelry_store, barber_shop, salon, noodle_house, grocery_store, tech_shop, cafe, bookstore, dentist, pizzeria, florist, gelateria, bank, bakery : 65795
Saved path: florist, pet_store, craft_shop, gym, hardware_store, burger_joint, cafe, pizzeria, tech_shop, grocery_store, noodle_house, salon, barber_shop, party_store, music_store : 59497
Saved path: dentist, pizzeria, craft_shop, pet_store, florist, music_store, pharmacy, party_store, jewelry_store, gym, hardware_store, salon, toy_store, clothing_store, bookstore : 63137
Saved path: grocery_store, pizzeria, craft_shop, florist, music_store, bank, gelateria, pharmacy, bakery, jewelry_store, bike_shop, barber_shop, salon, hardware_store, toy_store : 66201
