Saved path: gelateria, bank, music_store, jewelry_store, party_store, bakery, barber_shop, salon, clothing_store, bookstore, cafe, tech_shop, pizzeria, craft_shop, gym : 68386
Saved path: music_store, bank, pet_store, craft_shop, pizzeria, dentist, cafe, tech_shop, grocery_store, noodle_house, party_store, jewelry_store, bike_shop, gym, florist : 67845
Saved path: tech_shop, dentist, craft_shop, pet_store, florist, bookstore, burger_joint, hardware_store, party_store, bakery, barber_shop, toy_store, noodle_house, clothing_store, grocery_store : 54420
Saved path: craft_shop, gym, hardware_store, burger_joint, bookstore, cafe, dentist, grocery_store, clothing_store, toy_store, barber_shop, bakery, music_store, gelateria, pet_store : 50515
Saved path: bakery, pharmacy, music_store, bank, gelateria, florist, hardware_store, burger_joint, grocery_store, noodle_house, toy_store, salon, barber_shop, jewelry_store, party_store : 61754
Saved path: party_store, bike_shop, hardware_store, bookstore, noodle_house, clothing_store, tech_shop, cafe, dentist, pizzeria, florist, gelateria, bank, music_store, pharmacy : 59812
Saved path: gelateria, music_store, florist, pet_store, gym, burger_joint, bookstore, cafe, dentist, clothing_store, noodle_house, salon, toy_store, hardware_store, jewelry_store : 61552
Saved path: gym, bookstore, burger_joint, toy_store, clothing_store, tech_shop, pizzeria, pet_store, bank, gelateria, pharmacy, bakery, bike_shop, party_store, hardware_store : 61712
Saved path: bookstore, burger_joint, toy_store, noodle_house, salon, barber_shop, bakery, gym, pet_store, gelateria, bank, music_store, florist, pizzeria, dentist : 61689
Saved path: jewelry_store, party_store, bakery, gelateria, craft_shop, gym, burger_joint, bookstore, cafe, dentist, pizzeria, tech_shop, salon, barber_shop, bike_shop : 61843
Saved path: bookstore, tech_shop, clothing_store, noodle_house, toy_store, salon, barber_shop, bike_shop, jewelry_store, party_store, pharmacy, florist, pet_store, gym, hardware_store : 58402
Saved path: pizzeria, dentist, grocery_store, clothing_store, noodle_house, burger_joint, gym, hardware_store, bike_shop, party_store, pharmacy, music_store, gelateria, florist, craft_shop : 51665
Saved path: salon, barber_shop, jewelry_store, party_store, music_store, pet_store, gym, craft_shop, pizzeria, tech_shop, cafe, bookstore, clothing_store, noodle_house, toy_store : 65004
Saved path: pet_store, gelateria, music_store, pharmacy, bakery, jewelry_store, bike_shop, hardware_store, gym, toy_store, salon, noodle_house, tech_shop, cafe, dentist : 60176
Saved path: cafe, burger_joint, hardware_store, gym, craft_shop, bank, pharmacy, bike_shop, barber_shop, salon, toy_store, noodle_house, grocery_store, pizzeria, dentist : 63091
Saved path: party_store, hardware_store, gym, florist, gelateria, bank, pet_store, craft_shop, pizzeria, cafe, clothing_store, salon, barber_shop, bike_shop, jewelry_store : 70695
Saved path: cafe, clothing_store, barber_shop, bike_shop, party_store, bakery, hardware_store, gym, music_store, bank, gelateria, pet_store, craft_shop, pizzeria, tech_shop : 67246
Saved path: bike_shop, jewelry_store, party_store, bakery, pharmacy, gelateria, bank, pet_store, craft_shop, dentist, tech_shop, bookstore, burger_joint, salon, hardware_store : 65949
Saved path: pizzeria, tech_shop, grocery_store, toy_store, salon, barber_shop, jewelry_store, party_store, pharmacy, florist, pet_store, craft_shop, gym, burger_joint, dentist : 61587
Saved path: florist, music_store, pharmacy, bakery, party_store, jewelry_store, bike_shop, barber_shop, salon, noodle_house, clothing_store, cafe, hardware_store, gym, pizzeria : 60978
Saved path: pet_store, florist, bank, pharmacy, party_store, jewelry_store, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, burger_joint, dentist, craft_shop : 67562
Saved path: bakery, pharmacy, gelateria, bank, music_store, pizzeria, gym, burger_joint, bookstore, cafe, clothing_store, noodle_house, salon, jewelry_store, bike_shop : 66801
Saved path: salon, barber_shop, jewelry_store, party_store, music_store, bank, gym, craft_shop, pizzeria, tech_shop, cafe, bookstore, clothing_store, noodle_house, toy_store : 70166
Saved path: gelateria, music_store, pharmacy, party_store, barber_shop, salon, noodle_house, clothing_store, cafe, burger_joint, hardware_store, gym, pizzeria, craft_shop, pet_store : 59245
Saved path: dentist, craft_shop, pet_store, florist, gelateria, bank, pharmacy, party_store, hardware_store, salon, noodle_house, toy_store, burger_joint, cafe, tech_shop : 62502
Saved path: music_store, florist, craft_shop, gym, burger_joint, bookstore, cafe, grocery_store, noodle_house, toy_store, salon, barber_shop, bakery, gelateria, bank : 50290
Saved path: pharmacy, bakery, bike_shop, barber_shop, salon, toy_store, noodle_house, grocery_store, tech_shop, dentist, cafe, hardware_store, gym, craft_shop, pet_store : 52702
Saved path: gelateria, pet_store, pizzeria, dentist, bookstore, grocery_store, clothing_store, noodle_house, salon, hardware_store, bakery, party_store, jewelry_store, music_store, bank : 66903
Saved path: barber_shop, salon, toy_store, hardware_store, burger_joint, bookstore, clothing_store, grocery_store, pizzeria, craft_shop, florist, bank, gelateria, bakery, bike_shop : 60253
Saved path: noodle_house, clothing_store, bookstore, cafe, dentist, pizzeria, pet_store, bank, gelateria, pharmacy, bakery, jewelry_store, bike_shop, hardware_store, salon : 65646
Saved path: toy_store, burger_joint, bookstore, cafe, grocery_store, dentist, pizzeria, craft_shop, pet_store, florist, gelateria, pharmacy, bakery, party_store, salon : 55394
Saved path: noodle_house, toy_store, burger_joint, tech_shop, dentist, pizzeria, craft_shop, florist, gelateria, bank, music_store, pharmacy, bakery, bike_shop, barber_shop : 56978
Saved path: craft_shop, pet_store, florist, bank, music_store, pharmacy, party_store, bike_shop, hardware_store, toy_store, burger_joint, bookstore, cafe, dentist, pizzeria : 61061
Saved path: pizzeria, craft_shop, pet_store, bank, pharmacy, bakery, party_store, jewelry_store, barber_shop, hardware_store, gym, bookstore, clothing_store, grocery_store, dentist : 70898
Saved path: salon, clothing_store, grocery_store, tech_shop, burger_joint, dentist, pizzeria, craft_shop, pet_store, florist, gelateria, bike_shop, jewelry_store, party_store, hardware_store : 61199
Saved path: hardware_store, party_store, bakery, bank, music_store, florist, craft_shop, pizzeria, tech_shop, grocery_store, clothing_store, noodle_house, cafe, burger_joint, gym : 56868
Saved path: toy_store, noodle_house, grocery_store, cafe, dentist, craft_shop, pet_store, florist, pharmacy, bakery, bike_shop, jewelry_store, party_store, hardware_store, gym : 52992
Saved path: bookstore, burger_joint, dentist, pet_store, florist, gelateria, bakery, bike_shop, jewelry_store, hardware_store, salon, noodle_house, grocery_store, tech_shop, cafe : 58248
